Position(m)	Deflection(m)
6.435	-0.0355638
6.44	-0.0354915
6.445	-0.0357699
6.45	-0.0365156
6.455	-0.0372592
6.46	-0.037532
6.465	-0.0374518
6.47	-0.0371365
6.475	-0.036704
6.48	-0.0362721
6.485	-0.0359588
6.49	-0.0358818
6.495	-0.0361591
6.5	-0.0369086
6.505	-0.0376559
6.51	-0.0379276
6.515	-0.0378428
6.52	-0.0375205
6.525	-0.0370799
6.53	-0.0366399
6.535	-0.0363196
6.54	-0.0362381
6.545	-0.0365145
6.55	-0.0372678
6.555	-0.038019
6.56	-0.0382899
6.565	-0.0382006
6.57	-0.0378715
6.575	-0.0374228
6.58	-0.0369748
6.585	-0.0366478
6.59	-0.0365619
6.595	-0.0368375
6.6	-0.0375949
6.605	-0.0383501
6.61	-0.0386202
6.615	-0.0385266
6.62	-0.0381909
6.625	-0.0377343
6.63	-0.0372785
6.635	-0.0369448
6.64	-0.0368547
6.645	-0.0371297
6.65	-0.0378912
6.655	-0.038649
6.66	-0.0389141
6.665	-0.0388098
6.67	-0.0384596
6.675	-0.0379867
6.68	-0.0375145
6.685	-0.0371664
6.69	-0.0370657
6.695	-0.0373358
6.7	-0.0381
6.705	-0.038857
6.71	-0.0391079
6.715	-0.0389794
6.72	-0.0385981
6.725	-0.0380909
6.73	-0.0375844
6.735	-0.0372053
6.74	-0.0370804
6.745	-0.0373364
6.75	-0.0381
6.755	-0.0388623
6.76	-0.0391149
6.765	-0.0389854
6.77	-0.0386015
6.775	-0.0380907
6.78	-0.0375807
6.785	-0.037199
6.79	-0.0370732
6.795	-0.037331
6.8	-0.0381
6.805	-0.0388676
6.81	-0.039122
6.815	-0.0389916
6.82	-0.0386049
6.825	-0.0380905
6.83	-0.0375769
6.835	-0.0371925
6.84	-0.0370659
6.845	-0.0373256
6.85	-0.0381
6.855	-0.038873
6.86	-0.0391292
6.865	-0.0389978
6.87	-0.0386084
6.875	-0.0380903
6.88	-0.037573
6.885	-0.0371859
6.89	-0.0370584
6.895	-0.03732
6.9	-0.0381
6.905	-0.0388786
