Position(m)	Shear_Force(N)
95.2	84147.9
95.3	84010
95.4	83872.2
95.5	83734.4
95.6	83596.5
95.7	83458.7
95.8	83320.9
95.9	83183
96	83045.2
96.1	82907.4
96.2	82769.6
96.3	82631.7
96.4	82493.9
96.5	82356.1
96.6	82218.2
96.7	82080.4
96.8	81942.6
96.9	81804.7
97	81666.9
97.1	81529.1
97.2	81391.2
97.3	81253.4
97.4	81115.6
97.5	80977.7
97.6	80839.9
97.7	80702.1
97.8	80564.2
97.9	80426.4
98	80288.6
98.1	80150.8
98.2	80012.9
98.3	79875.1
98.4	79737.3
98.5	79599.4
98.6	79461.6
98.7	79323.8
98.8	79185.9
98.9	79048.1
99	78910.3
99.1	78772.4
99.2	78634.6
99.3	78496.8
99.4	78359
99.5	78221.1
99.6	78083.3
99.7	77945.5
99.8	77807.6
99.9	77669.8
100	77532
100.1	77394.1
100.2	77256.3
100.3	77118.5
100.4	76980.6
100.5	76842.8
100.6	76705
100.7	76567.1
100.8	76429.3
100.9	76291.5
101	76153.7
101.1	76015.8
101.2	75878
101.3	75740.2
101.4	75602.3
101.5	75464.5
101.6	75326.7
101.7	75188.8
101.8	75051
101.9	74913.2
102	74775.3
102.1	74637.5
102.2	74499.7
102.3	74361.8
102.4	74224
102.5	74086.2
102.6	73948.3
102.7	73810.5
102.8	73672.7
102.9	73534.8
103	73397
103.1	73259.2
103.2	73121.4
103.3	72983.5
103.4	72845.7
103.5	72707.9
103.6	72570
103.7	72432.2
103.8	72294.4
103.9	72156.5
104	72018.7
104.1	71880.9
104.2	71743
104.3	71605.2
104.4	71467.4
104.5	71329.6
104.6	71191.7
104.7	71053.9
104.8	70916.1
104.9	70778.2
105	70640.4
105.1	70502.6
105.2	70364.7
105.3	70226.9
105.4	70089.1
105.5	69951.3
105.6	69813.4
105.7	69675.6
105.8	69537.8
105.9	69399.9
106	69262.1
106.1	69124.3
106.2	68986.4
106.3	68848.6
106.4	68710.8
106.5	68572.9
106.6	68435.1
106.7	68297.3
106.8	68159.4
106.9	68021.6
107	67883.8
107.1	67746
107.2	67608.1
107.3	67470.3
107.4	67332.5
107.5	67194.6
107.6	67056.8
107.7	66919
107.8	66781.1
107.9	66643.3
108	66505.5
108.1	66367.7
108.2	66229.8
108.3	66092
108.4	65954.2
108.5	65816.3
108.6	65678.5
108.7	65540.7
108.8	65402.8
108.9	65265
109	65127.2
109.1	64989.3
109.2	64851.5
109.3	64713.7
109.4	64575.8
109.5	64438
109.6	64300.2
109.7	64162.4
109.8	64024.5
109.9	63886.7
110	63748.8
110.1	63611
110.2	63473.2
110.3	63335.4
110.4	63197.5
110.5	63059.7
110.6	62921.9
110.7	62784
110.8	62646.2
110.9	62508.4
111	62370.5
111.1	62232.7
111.2	62094.9
111.3	61957
111.4	61819.2
111.5	61681.4
111.6	61543.6
111.7	61405.7
111.8	61267.9
111.9	61130.1
112	60992.2
112.1	60854.4
112.2	60716.6
112.3	60578.7
112.4	60440.9
112.5	60303.1
112.6	60165.2
112.7	60027.4
112.8	59889.6
112.9	59751.8
113	59613.9
113.1	59476.1
113.2	59338.3
113.3	59200.4
113.4	59062.6
113.5	58924.8
113.6	58787
113.7	58649.1
113.8	58511.3
113.9	58373.4
114	58235.6
114.1	58097.8
114.2	57960
114.3	57822.1
114.4	57684.3
114.5	57546.5
114.6	57408.6
114.7	57270.8
114.8	57133
114.9	56995.1
115	56857.3
115.1	56719.5
115.2	56581.7
115.3	56443.8
115.4	56306
115.5	56168.1
115.6	56030.3
115.7	55892.5
115.8	55754.7
115.9	55616.8
116	55479
116.1	55341.2
116.2	55203.3
116.3	55065.5
116.4	54927.7
116.5	54789.8
116.6	54652
116.7	54514.2
116.8	54376.4
116.9	54238.5
117	54100.7
117.1	53962.9
117.2	53825
117.3	53687.2
117.4	53549.4
117.5	53411.5
117.6	53273.7
117.7	53135.9
117.8	52998.1
117.9	52860.2
118	52722.4
118.1	52584.6
118.2	52446.7
118.3	52308.9
118.4	52171.1
118.5	52033.3
118.6	51895.4
118.7	51757.6
118.8	51619.8
118.9	51481.9
119	51344.1
119.1	51206.3
119.2	51068.4
119.3	50930.6
119.4	50792.7
119.5	50654.9
119.6	50517.1
119.7	50379.2
119.8	50241.4
119.9	50103.6
120	49965.7
120.1	49827.9
120.2	49690.1
120.3	49552.3
120.4	49414.4
120.5	49276.6
120.6	49138.8
120.7	49000.9
120.8	48863.1
120.9	48725.3
121	48587.4
121.1	48449.6
121.2	48311.8
121.3	48174
121.4	48036.1
121.5	47898.3
121.6	47760.5
121.7	47622.6
121.8	47484.8
121.9	47347
122	47209.1
122.1	47071.3
122.2	46933.5
122.3	46795.7
122.4	46657.8
122.5	46520
122.6	46382.2
122.7	46244.3
122.8	46106.5
122.9	45968.7
123	45830.8
123.1	45693
123.2	45555.2
123.3	45417.4
123.4	45279.5
123.5	45141.7
123.6	45003.9
123.7	44866
123.8	44728.2
123.9	44590.4
124	44452.5
124.1	44314.7
124.2	44176.9
124.3	44039
124.4	43901.2
124.5	43763.3
124.6	43625.5
124.7	43487.7
124.8	43349.9
124.9	43212
125	43074.2
125.1	42936.4
125.2	42798.5
125.3	42660.7
125.4	42522.9
125.5	42385.1
125.6	42247.2
125.7	42109.4
125.8	41971.6
125.9	41833.8
126	41695.9
126.1	41558.1
126.2	41420.3
126.3	41282.4
126.4	41144.6
126.5	41006.8
126.6	40868.9
126.7	40731.1
126.8	40593.3
126.9	40455.5
127	40317.6
127.1	40179.8
127.2	40042
127.3	39904.2
127.4	39766.3
127.5	39628.5
127.6	39490.7
127.7	39352.8
127.8	39215
127.9	39077.1
128	38939.3
128.1	38801.5
128.2	38663.6
128.3	38525.8
128.4	38387.9
128.5	38250.1
128.6	38112.3
128.7	37974.5
128.8	37836.6
128.9	37698.8
129	37560.9
129.1	37423.1
129.2	37285.3
129.3	37147.5
129.4	37009.6
129.5	36871.8
129.6	36734
129.7	36596.2
129.8	36458.3
129.9	36320.5
130	36182.6
130.1	36044.8
130.2	35907
130.3	35769.2
130.4	35631.3
130.5	35493.5
130.6	35355.6
130.7	35217.8
130.8	35079.9
130.9	34942.1
131	34804.3
131.1	34666.5
131.2	34528.6
131.3	34390.8
131.4	34253
131.5	34115.2
131.6	33977.3
131.7	33839.5
131.8	33701.6
131.9	33563.8
132	33426
132.1	33288.2
132.2	33150.3
132.3	33012.5
132.4	32874.7
132.5	32736.9
132.6	32599
132.7	32461.2
132.8	32323.3
132.9	32185.5
133	32047.7
133.1	31909.9
133.2	31772
133.3	31634.2
133.4	31496.4
133.5	31358.6
133.6	31220.7
133.7	31082.9
133.8	30945.1
