Position(m)	Bending_Moment(Nm)
54.5	-3.28273e+06
54.6	-3.21826e+06
54.7	-3.15334e+06
54.8	-3.08797e+06
54.9	-3.02216e+06
55	-2.95589e+06
55.1	-2.88918e+06
55.2	-2.82202e+06
55.3	-2.7544e+06
55.4	-2.68634e+06
55.5	-2.61782e+06
55.6	-2.54885e+06
55.7	-2.47942e+06
55.8	-2.40954e+06
55.9	-2.3392e+06
56	-2.26841e+06
56.1	-2.19716e+06
56.2	-2.12545e+06
56.3	-2.05329e+06
56.4	-1.98066e+06
56.5	-1.90758e+06
56.6	-1.83403e+06
56.7	-1.76002e+06
56.8	-1.68555e+06
56.9	-1.61062e+06
57	-1.53522e+06
57.1	-1.45936e+06
57.2	-1.38304e+06
57.3	-1.30625e+06
57.4	-1.22899e+06
57.5	-1.15127e+06
57.6	-1.07307e+06
57.7	-994411
57.8	-915280
57.9	-835679
58	-755607
58.1	-675064
58.2	-594048
58.3	-512559
58.4	-430597
58.5	-348159
58.6	-265247
58.7	-181859
58.8	-97993.7
58.9	-13651.2
59	71169.4
59.1	156469
59.2	242248
59.3	328508
59.4	415248
59.5	502470
59.6	590175
59.7	678364
59.8	767036
59.9	856193
60	945835
60.1	1.03596e+06
60.2	1.12658e+06
60.3	1.21768e+06
60.4	1.30927e+06
60.5	1.40135e+06
60.6	1.49392e+06
60.7	1.58698e+06
60.8	1.68054e+06
60.9	1.77458e+06
61	1.86912e+06
61.1	1.96415e+06
61.2	2.05967e+06
61.3	2.15569e+06
61.4	2.25221e+06
61.5	2.34922e+06
61.6	2.44673e+06
61.7	2.54473e+06
61.8	2.64324e+06
61.9	2.74224e+06
62	2.84175e+06
62.1	2.94175e+06
62.2	3.04226e+06
62.3	3.14327e+06
62.4	3.24478e+06
62.5	3.34679e+06
62.6	3.44931e+06
62.7	3.55234e+06
62.8	3.65587e+06
62.9	3.75991e+06
63	3.86445e+06
63.1	3.96951e+06
63.2	4.07507e+06
63.3	4.18114e+06
63.4	4.28772e+06
63.5	4.39481e+06
63.6	4.50241e+06
63.7	4.61053e+06
63.8	4.71916e+06
63.9	4.8283e+06
64	4.93796e+06
64.1	5.04814e+06
64.2	5.15882e+06
64.3	5.27003e+06
64.4	5.38175e+06
64.5	5.494e+06
64.6	5.60676e+06
64.7	5.72004e+06
64.8	5.83384e+06
64.9	5.94816e+06
65	6.063e+06
65.1	6.17837e+06
65.2	6.29426e+06
65.3	6.41068e+06
65.4	6.52761e+06
65.5	6.64508e+06
65.6	6.76307e+06
65.7	6.88159e+06
65.8	7.00063e+06
65.9	7.12021e+06
66	7.24031e+06
66.1	7.36094e+06
66.2	7.48211e+06
66.3	7.6038e+06
66.4	7.72603e+06
66.5	7.84879e+06
66.6	7.97208e+06
66.7	8.09591e+06
66.8	8.22027e+06
66.9	8.34517e+06
67	8.47061e+06
67.1	8.59658e+06
67.2	8.72309e+06
67.3	8.85014e+06
67.4	8.97772e+06
67.5	9.10585e+06
67.6	9.23452e+06
67.7	9.36373e+06
67.8	9.49349e+06
67.9	9.62378e+06
68	9.75462e+06
68.1	9.88601e+06
68.2	1.00179e+07
68.3	1.01504e+07
68.4	1.02834e+07
68.5	1.0417e+07
68.6	1.05511e+07
68.7	1.06858e+07
68.8	1.0821e+07
68.9	1.09568e+07
69	1.10931e+07
69.1	1.123e+07
69.2	1.13674e+07
69.3	1.15054e+07
69.4	1.16439e+07
69.5	1.1783e+07
69.6	1.19226e+07
69.7	1.20628e+07
69.8	1.22036e+07
69.9	1.23449e+07
70	1.24867e+07
70.1	1.26292e+07
70.2	1.27721e+07
70.3	1.29157e+07
70.4	1.30598e+07
70.5	1.32045e+07
70.6	1.33497e+07
70.7	1.34955e+07
70.8	1.36419e+07
70.9	1.37888e+07
71	1.39363e+07
71.1	1.40843e+07
71.2	1.4233e+07
71.3	1.43822e+07
71.4	1.45319e+07
71.5	1.46822e+07
71.6	1.48331e+07
71.7	1.49846e+07
71.8	1.51367e+07
71.9	1.52893e+07
72	1.54425e+07
72.1	1.55962e+07
72.2	1.57506e+07
72.3	1.59055e+07
72.4	1.6061e+07
72.5	1.6217e+07
72.6	1.63737e+07
72.7	1.65309e+07
72.8	1.66887e+07
72.9	1.68471e+07
73	1.7006e+07
73.1	1.71656e+07
73.2	1.73257e+07
73.3	1.74864e+07
73.4	1.76477e+07
73.5	1.78095e+07
73.6	1.7972e+07
73.7	1.8135e+07
73.8	1.82986e+07
73.9	1.84629e+07
74	1.86277e+07
74.1	1.8793e+07
74.2	1.8959e+07
74.3	1.91256e+07
74.4	1.92927e+07
74.5	1.94605e+07
74.6	1.96288e+07
74.7	1.97978e+07
74.8	1.99673e+07
74.9	2.01374e+07
75	2.03081e+07
75.1	2.04794e+07
75.2	2.06513e+07
75.3	2.08238e+07
75.4	2.09969e+07
75.5	2.11706e+07
75.6	2.13449e+07
75.7	2.15198e+07
75.8	2.16953e+07
75.9	2.18714e+07
76	2.20481e+07
76.1	2.22255e+07
76.2	2.24034e+07
76.3	2.25819e+07
76.4	2.2761e+07
76.5	2.29407e+07
76.6	2.3121e+07
76.7	2.3302e+07
76.8	2.34835e+07
76.9	2.36657e+07
77	2.38484e+07
77.1	2.40318e+07
77.2	2.42158e+07
77.3	2.44004e+07
77.4	2.45856e+07
77.5	2.47714e+07
77.6	2.49579e+07
77.7	2.51449e+07
77.8	2.53326e+07
77.9	2.55209e+07
78	2.57098e+07
78.1	2.58993e+07
78.2	2.60894e+07
78.3	2.62802e+07
78.4	2.64715e+07
78.5	2.66635e+07
78.6	2.68561e+07
78.7	2.70494e+07
78.8	2.72432e+07
78.9	2.74377e+07
79	2.76328e+07
79.1	2.78285e+07
79.2	2.80249e+07
79.3	2.82219e+07
79.4	2.84195e+07
79.5	2.86177e+07
79.6	2.88166e+07
79.7	2.90161e+07
79.8	2.92162e+07
79.9	2.94169e+07
80	2.96183e+07
80.1	2.98203e+07
80.2	3.0023e+07
80.3	3.02263e+07
80.4	3.04302e+07
80.5	3.06347e+07
80.6	3.08399e+07
80.7	3.10457e+07
80.8	3.12522e+07
80.9	3.14593e+07
81	3.16664e+07
81.1	3.1873e+07
81.2	3.20791e+07
81.3	3.22846e+07
81.4	3.24895e+07
81.5	3.26939e+07
81.6	3.28978e+07
81.7	3.31011e+07
81.8	3.33039e+07
81.9	3.35061e+07
82	3.37078e+07
82.1	3.39089e+07
82.2	3.41095e+07
82.3	3.43096e+07
82.4	3.45091e+07
82.5	3.47081e+07
82.6	3.49065e+07
82.7	3.51044e+07
82.8	3.53018e+07
82.9	3.54987e+07
83	3.5695e+07
83.1	3.58907e+07
83.2	3.6086e+07
83.3	3.62807e+07
83.4	3.64748e+07
83.5	3.66685e+07
83.6	3.68616e+07
83.7	3.70542e+07
83.8	3.72462e+07
83.9	3.74377e+07
84	3.76287e+07
84.1	3.78192e+07
84.2	3.80091e+07
84.3	3.81985e+07
84.4	3.83874e+07
84.5	3.85758e+07
84.6	3.87636e+07
84.7	3.89509e+07
84.8	3.91377e+07
84.9	3.9324e+07
85	3.95098e+07
85.1	3.9695e+07
85.2	3.98797e+07
85.3	4.00639e+07
85.4	4.02476e+07
85.5	4.04308e+07
85.6	4.06134e+07
85.7	4.07955e+07
85.8	4.09772e+07
85.9	4.11583e+07
86	4.13388e+07
86.1	4.15189e+07
86.2	4.16985e+07
86.3	4.18775e+07
86.4	4.20561e+07
86.5	4.22341e+07
86.6	4.24116e+07
86.7	4.25887e+07
86.8	4.27652e+07
86.9	4.29412e+07
87	4.31167e+07
87.1	4.32917e+07
87.2	4.34662e+07
87.3	4.36401e+07
87.4	4.38136e+07
87.5	4.39866e+07
87.6	4.41591e+07
87.7	4.43311e+07
87.8	4.45025e+07
87.9	4.46735e+07
88	4.4844e+07
88.1	4.5014e+07
88.2	4.51835e+07
88.3	4.53525e+07
88.4	4.55209e+07
88.5	4.56889e+07
88.6	4.58564e+07
88.7	4.60235e+07
88.8	4.619e+07
88.9	4.6356e+07
89	4.65215e+07
89.1	4.66866e+07
89.2	4.68511e+07
89.3	4.70152e+07
89.4	4.71788e+07
89.5	4.73419e+07
89.6	4.75045e+07
89.7	4.76666e+07
89.8	4.78282e+07
89.9	4.79893e+07
90	4.815e+07
90.1	4.83102e+07
90.2	4.84699e+07
90.3	4.86291e+07
90.4	4.87878e+07
90.5	4.89461e+07
90.6	4.91038e+07
90.7	4.92611e+07
90.8	4.9418e+07
90.9	4.95743e+07
91	4.97301e+07
91.1	4.98855e+07
91.2	5.00404e+07
91.3	5.01949e+07
91.4	5.03488e+07
91.5	5.05023e+07
91.6	5.06553e+07
91.7	5.08079e+07
91.8	5.096e+07
91.9	5.11116e+07
92	5.12627e+07
92.1	5.14134e+07
92.2	5.15636e+07
92.3	5.17133e+07
92.4	5.18625e+07
92.5	5.20113e+07
92.6	5.21597e+07
92.7	5.23075e+07
92.8	5.24549e+07
92.9	5.26019e+07
93	5.27484e+07
93.1	5.28944e+07
93.2	5.30399e+07
93.3	5.3185e+07
93.4	5.33297e+07
93.5	5.34739e+07
93.6	5.36176e+07
93.7	5.37608e+07
93.8	5.39037e+07
93.9	5.4046e+07
94	5.41879e+07
94.1	5.43293e+07
94.2	5.44703e+07
94.3	5.46109e+07
94.4	5.4751e+07
94.5	5.48906e+07
94.6	5.50298e+07
94.7	5.51685e+07
94.8	5.53068e+07
94.9	5.54446e+07
95	5.5582e+07
95.1	5.5719e+07
95.2	5.58555e+07
95.3	5.59915e+07
95.4	5.61271e+07
95.5	5.62623e+07
95.6	5.6397e+07
95.7	5.65313e+07
95.8	5.66651e+07
95.9	5.67985e+07
96	5.69315e+07
